Fecha,Cantidad,tend,ciclo
2010-01-01,5,5.283581318793141,-0.2835813187931411
2010-01-02,4,5.632753291889362,-1.6327532918893617
2010-01-03,3,5.981748026661337,-2.9817480266613368
2010-01-04,7,6.329367813977389,0.670632186022611
2010-01-05,7,6.672551352189175,0.32744864781082494
2010-01-06,5,7.008656484764615,-2.0086564847646153
2010-01-07,7,7.335245710576513,-0.33524571057651276
2010-01-08,11,7.648626118194689,3.351373881805311
2010-01-09,9,7.944895267619856,1.0551047323801441
2010-01-10,9,8.222245327528855,0.7777546724711453
2010-01-11,5,8.479527907056266,-3.4795279070562657
2010-01-12,7,8.71608071200697,-1.7160807120069705
2010-01-13,15,8.929066743243936,6.070933256756064
2010-01-14,17,9.114576451185128,7.885423548814872
2010-01-15,7,9.272494619533989,-2.2724946195339886
2010-01-16,10,9.407634421711968,0.5923655782880317
2010-01-17,6,9.523388722003311,-3.523388722003311
2010-01-18,9,9.623520613178687,-0.6235206131786875
2010-01-19,9,9.709591070057517,-0.7095910700575168
2010-01-20,12,9.78277136707598,2.2172286329240194
2010-01-21,13,9.843789284251482,3.156210715748518
2010-01-22,13,9.894758369497001,3.1052416305029986
2010-01-23,4,9.93976480242287,-5.93976480242287
2010-01-24,10,9.984835538658484,0.0151644613415165
2010-01-25,9,10.032285180831728,-1.0322851808317282
2010-01-26,7,10.084437809358828,-3.0844378093588283
2010-01-27,4,10.142972326417986,-6.142972326417986
2010-01-28,12,10.207639860556554,1.7923601394434456
2010-01-29,16,10.274352182617875,5.725647817382125
2010-01-30,17,10.340141288532442,6.6598587114675585
2010-01-31,4,10.405617704116622,-6.405617704116622
2010-02-01,11,10.475554366881457,0.5244456331185425
2010-02-02,7,10.55072070327291,-3.5507207032729102
2010-02-03,12,10.632213918257648,1.3677860817423522
2010-02-04,10,10.71891201636279,-0.7189120163627898
2010-02-05,14,10.810547868416545,3.1894521315834545
2010-02-06,9,10.906405025236898,-1.9064050252368983
2010-02-07,9,11.007760445224065,-2.007760445224065
2010-02-08,11,11.114699583637492,-0.114699583637492
2010-02-09,10,11.226053045458361,-1.226053045458361
2010-02-10,13,11.340579748428066,1.6594202515719338
2010-02-11,13,11.456272327134602,1.5437276728653977
2010-02-12,14,11.572160553823185,2.427839446176815
2010-02-13,5,11.68823903053458,-6.6882390305345805
2010-02-14,6,11.806019758963412,-5.806019758963412
2010-02-15,16,11.922834591410219,4.0771654085897815
2010-02-16,9,12.032386617826187,-3.0323866178261873
2010-02-17,19,12.130927156542874,6.8690728434571255
2010-02-18,11,12.212812284255683,-1.2128122842556834
2010-02-19,18,12.27669124818717,5.72330875181283
2010-02-20,19,12.320455287882222,6.679544712117778
2010-02-21,4,12.345572710855617,-8.345572710855617
2010-02-22,13,12.3576865400672,0.6423134599328009
2010-02-23,11,12.357223815532532,-1.3572238155325316
2010-02-24,13,12.345013023179629,0.6549869768203713
2010-02-25,14,12.3210343840518,1.6789656159482007
2010-02-26,17,12.28567748605287,4.714322513947129
2010-02-27,13,12.240381270596638,0.7596187294033623
2010-02-28,7,12.189531130668112,-5.189531130668112
2010-03-01,12,12.13798722095818,-0.1379872209581805
2010-03-02,7,12.087366239201065,-5.0873662392010655
2010-03-03,11,12.039198641117885,-1.0391986411178848
2010-03-04,9,11.991835278530258,-2.9918352785302584
2010-03-05,17,11.942977504109104,5.057022495890896
2010-03-06,12,11.888456773476257,0.11154322652374304
2010-03-07,7,11.827265181313496,-4.827265181313496
2010-03-08,17,11.758464536819174,5.241535463180826
2010-03-09,17,11.678099608453335,5.321900391546665
2010-03-10,17,11.585491124340496,5.414508875659504
2010-03-11,8,11.483286000349892,-3.483286000349892
2010-03-12,8,11.377515220398044,-3.3775152203980436
2010-03-13,7,11.272032714651253,-4.272032714651253
2010-03-14,5,11.168581466263076,-6.168581466263076
2010-03-15,15,11.06623443794041,3.9337655620595893
2010-03-16,14,10.960209228973753,3.0397907710262473
2010-03-17,11,10.848182042129888,0.15181795787011154
2010-03-18,15,10.729728949407491,4.270271050592509
2010-03-19,9,10.604520909028901,-1.604520909028901
2010-03-20,11,10.474897798623088,0.525102201376912
2010-03-21,10,10.342196670250878,-0.3421966702508783
2010-03-22,7,10.208082764848964,-3.208082764848964
2010-03-23,13,10.074007450435133,2.9259925495648673
2010-03-24,12,9.939417043299136,2.0605829567008644
2010-03-25,10,9.80558660507421,0.19441339492579068
2010-03-26,13,9.67507906174152,3.3249209382584795
2010-03-27,10,9.550578847654068,0.4494211523459324
2010-03-28,3,9.436848472751254,-6.4368484727512545
2010-03-29,13,9.338931335192699,3.661068664807301
2010-03-30,8,9.257847802842543,-1.2578478028425426
2010-03-31,10,9.196906411480438,0.8030935885195625
2010-04-01,7,9.158629542009253,-2.158629542009253
2010-04-02,5,9.146041508824688,-4.146041508824688
2010-04-03,7,9.160817482858679,-2.160817482858679
2010-04-04,5,9.20204135910016,-4.202041359100161
2010-04-05,13,9.267446521611285,3.7325534783887147
2010-04-06,9,9.352140078604767,-0.3521400786047675
2010-04-07,8,9.453561984217323,-1.4535619842173233
2010-04-08,10,9.568932105036538,0.4310678949634621
2010-04-09,14,9.694561831409864,4.305438168590136
2010-04-10,10,9.827031971119109,0.17296802888089147
2010-04-11,7,9.965614230801451,-2.9656142308014513
2010-04-12,7,10.109688422112118,-3.109688422112118
2010-04-13,8,10.256780847812088,-2.256780847812088
2010-04-14,13,10.402474255398523,2.5975257446014766
2010-04-15,16,10.540940904338704,5.459059095661296
2010-04-16,14,10.667976507690293,3.332023492309707
