,Fecha,Cantidad,tend_anual,ciclo_anual,tend_cuatrimestral,ciclo_cuatrimestral,tend_mensual,ciclo_mensual
0,2010-01-01,5,4.122789516763414,0.8772104832365857,5.283581318793141,-0.2835813187931411,7.514208767888967,-2.514208767888967
1,2010-01-02,4,4.438006183470431,-0.4380061834704314,5.632753291889362,-1.632753291889362,7.619243407062791,-3.619243407062791
2,2010-01-03,3,4.893576527495302,-1.893576527495302,5.981748026661337,-2.981748026661337,7.724258646477603,-4.724258646477603
3,2010-01-04,7,5.559773236800612,1.440226763199388,6.329367813977389,0.670632186022611,7.829207160113533,-0.8292071601135333
4,2010-01-05,7,6.203896754949697,0.7961032450503032,6.672551352189175,0.3274486478108249,7.934005169337699,-0.9340051693376985
5,2010-01-06,5,6.823683807617795,-1.823683807617795,7.008656484764615,-2.008656484764615,8.03856249731382,-3.038562497313819
6,2010-01-07,7,7.544247639688193,-0.5442476396881926,7.335245710576513,-0.3352457105765128,8.142781760375609,-1.142781760375609
7,2010-01-08,11,8.198912086825327,2.801087913174673,7.648626118194689,3.351373881805311,8.2465421291585,2.753457870841499
8,2010-01-09,9,8.533921362343527,0.4660786376564729,7.944895267619856,1.055104732380144,8.34971395653743,0.6502860434625699
9,2010-01-10,9,8.74369374566507,0.2563062543349304,8.222245327528855,0.7777546724711453,8.45218884120424,0.5478111587957599
10,2010-01-11,5,9.097220098237273,-4.097220098237273,8.479527907056266,-3.479527907056266,8.553863399489996,-3.553863399489996
11,2010-01-12,7,9.904500282201045,-2.904500282201045,8.71608071200697,-1.716080712006971,8.654638474663722,-1.654638474663722
12,2010-01-13,15,10.81997894397933,4.180021056020674,8.929066743243936,6.070933256756064,8.754387488208947,6.245612511791053
13,2010-01-14,17,11.03338068484289,5.966619315157111,9.114576451185128,7.885423548814872,8.85297109433702,8.14702890566298
14,2010-01-15,7,10.40323347502582,-3.403233475025823,9.272494619533989,-2.272494619533989,8.950298138713856,-1.950298138713856
15,2010-01-16,10,9.742724375187352,0.2572756248126478,9.407634421711968,0.5923655782880317,9.046340329882732,0.9536596701172684
16,2010-01-17,6,9.320523089982565,-3.320523089982565,9.523388722003311,-3.523388722003311,9.141054327790178,-3.141054327790178
17,2010-01-18,9,9.446463424036567,-0.4464634240365672,9.623520613178687,-0.6235206131786875,9.234404150867837,-0.2344041508678369
18,2010-01-19,9,9.89909548757725,-0.8990954875772506,9.709591070057517,-0.7095910700575168,9.326329581017045,-0.3263295810170455
19,2010-01-20,12,10.38553524298667,1.614464757013334,9.78277136707598,2.217228632924019,9.416768591465132,2.583231408534868
20,2010-01-21,13,10.4690433746345,2.5309566253655,9.843789284251482,3.156210715748518,9.505656637464273,3.494343362535727
21,2010-01-22,13,9.97119492801258,3.028805071987421,9.894758369497001,3.105241630502999,9.592949106607758,3.407050893392242
22,2010-01-23,4,9.118518008671217,-5.118518008671217,9.93976480242287,-5.93976480242287,9.678628349014824,-5.678628349014824
23,2010-01-24,10,8.622149533678709,1.377850466321291,9.984835538658484,0.0151644613415165,9.762703003777652,0.2372969962223479
24,2010-01-25,9,8.374263538715972,0.6257364612840277,10.03228518083173,-1.032285180831728,9.845137893411652,-0.8451378934116516
25,2010-01-26,7,8.487490134075337,-1.487490134075337,10.08443780935883,-3.084437809358828,9.925899671427581,-2.925899671427581
26,2010-01-27,4,9.17457726385457,-5.17457726385457,10.14297232641799,-6.142972326417986,10.00494847021048,-6.004948470210477
27,2010-01-28,12,10.41027445069939,1.58972554930061,10.20763986055655,1.792360139443446,10.08222184575902,1.917778154240978
28,2010-01-29,16,11.34139885503879,4.658601144961214,10.27435218261787,5.725647817382125,10.15761101959297,5.842388980407033
29,2010-01-30,17,11.36912372518984,5.630876274810156,10.34014128853244,6.659858711467558,10.231022010903,6.768977989097003
30,2010-01-31,4,10.63999849266345,-6.639998492663446,10.40561770411662,-6.405617704116622,10.30240591904169,-6.302405919041691
31,2010-02-01,11,10.2015127929401,0.7984872070598961,10.47555436688146,0.5244456331185425,10.37176607313006,0.6282339268699406
32,2010-02-02,7,10.03875650267418,-3.038756502674179,10.55072070327291,-3.55072070327291,10.4390571726138,-3.439057172613801
33,2010-02-03,12,10.26457745164961,1.735422548350394,10.63221391825765,1.367786081742352,10.50423876442262,1.495761235577378
34,2010-02-04,10,10.50562242922247,-0.5056224292224663,10.71891201636279,-0.7189120163627898,10.56724385955125,-0.5672438595512528
35,2010-02-05,14,10.66620583248489,3.333794167515105,10.81054786841655,3.189452131583455,10.62801701036198,3.371982989638024
36,2010-02-06,9,10.56974246985344,-1.569742469853439,10.9064050252369,-1.906405025236898,10.68649839233544,-1.686498392335444
37,2010-02-07,9,10.57305421654706,-1.573054216547057,11.00776044522406,-2.007760445224065,10.74265419933957,-1.742654199339572
38,2010-02-08,11,10.78180415260815,0.2181958473918471,11.11469958363749,-0.114699583637492,10.79643761213739,0.2035623878626094
39,2010-02-09,10,11.04996668343161,-1.049966683431613,11.22605304545836,-1.226053045458361,10.84778836508607,-0.8477883650860747
40,2010-02-10,13,11.26642754999501,1.733572450004987,11.34057974842807,1.659420251571934,10.89664776324023,2.103352236759767
41,2010-02-11,13,11.15207782392687,1.84792217607313,11.4562723271346,1.543727672865398,10.94295057007759,2.057049429922413
42,2010-02-12,14,10.70518016885651,3.294819831143494,11.57216055382318,2.427839446176815,10.98664777864558,3.013352221354417
43,2010-02-13,5,10.21966479658495,-5.219664796584947,11.68823903053458,-6.68823903053458,11.02770625428666,-6.027706254286658
